r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-8737374573.585453 6.4842229857550793 -1.0642765922231347e+52 -1.0908119518666853e+34 271737243.90827256 1.4041861110364498e+20 3358.2228908915113 0.35160474269458281 2.0859675871863069e+17 " " c 2.2548799468182681
-8723614928.5876789 6.4619603175217035 -1.0633478579710907e+52 -1.0863839071550668e+34 272115215.16222304 1.4085940604874414e+20 3363.1986507045021 0.35159903641868917 2.1088395689672726e+17 " " c 2.2542852283827264
-8709855283.5899048 6.4397349511426523 -1.0624105289486105e+52 -1.0819632817822736e+34 272492839.7689122 1.4130044813001359e+20 3368.1648321031148 0.35159336126540225 2.1318928309178874e+17 " " c 2.2536902393169318
-8696095638.5921307 6.4175470462589113 -1.0614645658869869e+52 -1.0775501075008976e+34 272870116.24192876 1.4174173315723359e+20 3373.1214094023935 0.3515877170340404 2.1551280322237574e+17 " " c 2.2530949832530629
-8682335993.5943565 6.3953967615898808 -1.0605099298149588e+52 -1.0731444158802274e+34 273247043.09704024 1.4218325693518981e+20 3378.0683571318359 0.35158210352548008 2.178545826806048e+17 " " c 2.2524994638337033
-8668576348.5965824 6.3732842549317397 -1.0595465820646822e+52 -1.0687462383059231e+34 273623618.85220093 1.4262501526376794e+20 3383.0056500355804 0.35157652054214267 2.2021468632472058e+17 " " c 2.2519036847094904
-8654816703.5988083 6.3512096831558456 -1.0585744842776973e+52 -1.0643556059796977e+34 273999842.02756006 1.4306700393804813e+20 3387.9332630725912 0.35157096788798009 2.2259317847168678e+17 " " c 2.2513076495433997
-8641057058.6010342 6.329173202207155 -1.0575935984108919e+52 -1.0599725499190031e+34 274375711.14546937 1.4350921874839937e+20 3392.8511714168349 0.35156544536846157 2.2499012288979363e+17 " " c 2.2507113620071166
-8627297413.60326 6.307174967102684 -1.0566038867424618e+52 -1.055597100956724e+34 274751224.73049104 1.4395165548057377e+20 3397.7593504574475 0.35155995279056013 2.2740558279129066e+17 " " c 2.2501148257821044
-8613537768.6054859 6.285215131929986 -1.055605311877863e+52 -1.0512292897408743e+34 275126381.30940533 1.4439430991580073e+20 3402.6577757988939 0.35155448996273919 2.2983962082504838e+17 " " c 2.2495180445605643
-8599778123.6077118 6.2632938498456676 -1.0545978367557598e+52 -1.0468691467343033e+34 275501179.41121805 1.4483717783088099e+20 3407.5464232611198 0.35154905669493941 2.3229229906922189e+17 " " c 2.2489210220441374
-8586018478.6099377 6.24141127307393 -1.0535814246539644e+52 -1.0425167022144047e+34 275875617.56716806 1.4528025499828054e+20 3412.4252688796983 0.35154365279856553 2.3476367902396326e+17 " " c 2.2483237619445289
-8572258833.6121635 6.21956755290514 -1.0525560391953676e+52 -1.0381719862728324e+34 276249694.31073469 1.4572353718622447e+20 3417.2942889059623 0.3515382780864737 2.3725382160414384e+17 " " c 2.2477262679829555
-8558499188.6143894 6.1977628396944331 -1.0515216443538623e+52 -1.0338350288152228e+34 276623408.17764491 1.4616702015879068e+20 3422.1534598071362 0.35153293237295846 2.3976278713209907e+17 " " c 2.2471285438911655
-8544739543.6166153 6.1759972828603411 -1.0504782044602541e+52 -1.0295058595609219e+34 276996757.70588052 1.466106996760034e+20 3427.0027582664552 0.35152761547374001 2.422906353304137e+17 " " c 2.2465305934098305
-8530979898.6188412 6.154271030883451 -1.0494256842081628e+52 -1.0251845080427185e+34 277369741.43568534 1.4705457149392662e+20 3431.8421611832769 0.35152232720595195 2.4483742531472163e+17 " " c 2.2459324202896638
-8517220253.621067 6.1325842313050956 -1.0483640486599111e+52 -1.0208710036065836e+34 277742357.90957201 1.4749863136475736e+20 3436.6716456731856 0.35151706738812871 2.4740321558653462e+17 " " c 2.2453340282917669
-8503460608.6232929 6.1109370307260669 -1.0472932632524001e+52 -1.0165653754114147e+34 278114605.67232895 1.4794287503691884e+20 3441.4911890680937 0.35151183584019313 2.4998806402610896e+17 " " c 2.2447354211867521
-8489700963.6255188 6.0893295748053644 -1.0462132938029715e+52 -1.012267652428787e+34 278486483.27102703 1.4838729825515343e+20 3446.300768916326 0.35150663238344459 2.5259202788532992e+17 " " c 2.2441366027544358
-8475941318.6277447 6.0677620082589696 -1.0451241065152538e+52 -1.0079778634427091e+34 278857989.2550264 1.4883189676061553e+20 3451.1003629827055 0.35150145684054668 2.5521516378063149e+17 " " c 2.2435375767845676
-8462181673.6299706 6.0462344748586512 -1.0440256679849942e+52 -1.0036960370493857e+34 279229122.17598289 1.4927666629096414e+20 3455.8899492486189 0.35149630903551554 2.5785752768594838e+17 " " c 2.2429383470778226
-8448422028.6321964 6.0247471174307945 -1.0429179452058721e+52 -9.9942220165698507e+33 279599880.5878545 1.4972160258045546e+20 3460.6695059120975 0.35149118879370778 2.6051917492570064e+17 " " c 2.2423389174421282
-8434662383.6344223 6.0033000778552656 -1.0418009055752963e+52 -9.9515638548541241e+33 279970263.0469079 1.5016670136003514e+20 3465.4390113878558 0.35148609594180902 2.6320016016779917e+17 " " c 2.2417392916971774
-8420902738.6366482 5.9818934970643021 -1.0406745169001829e+52 -9.9089861656608976e+33 280340268.11172456 1.506119583574305e+20 3470.1984443073575 0.35148103030782218 2.6590053741670557e+17 " " c 2.2411394736710823
-8407143093.6388741 5.9605275150414299 -1.0395387474027132e+52 -9.8664892274174046e+33 280709894.34320694 1.5105736929724249e+20 3474.9477835188486 0.35147599172105626 2.6862036000650749e+17 " " c 2.2405394672024683
-8393383448.6410999 5.9392022708204113 -1.0383935657260723e+52 -9.8240733166617991e+33 281079140.3045845 1.5150292990103742e+20 3479.6870080873982 0.35147098001211458 2.7135968059403491e+17 " " c 2.2399392761382879
-8379623803.6433258 5.9179179024842226 -1.0372389409401649e+52 -9.7817387080411189e+33 281448004.56141979 1.5194863588743863e+20 3484.4160972949194 0.35146599501288395 2.7411855115201354e+17 " " c 2.2393389043365692
-8365864158.6455517 5.8966745471640554 -1.0360748425473095e+52 -9.739485674309307e+33 281816485.6816141 1.5239448297221787e+20 3489.1350306401946 0.35146103655652344 2.7689702296225629e+17 " " c 2.2387383556640135
-8352104513.6477776 5.8754723410383551 -1.0349012404879093e+52 -9.6973144863252885e+33 282184582.23541331 1.528404668683865e+20 3493.8437878388827 0.35145610447745329 2.7969514660888205e+17 " " c 2.2381376339964842
-8338344868.6500034 5.8543114193318768 -1.0337181051460984e+52 -9.6552254130511028e+33 282552292.79541361 1.5328658328628648e+20 3498.5423488235233 0.351451198611344 2.8251297197158525e+17 " " c 2.2375367432202347
-8324585223.6522293 5.8331919163147772 -1.0325254073553632e+52 -9.6132187215500924e+33 282919615.93656689 1.5373282793368122e+20 3503.2306937435355 0.35144631879510568 2.8535054821893875e+17 " " c 2.2369356872301061
-8310825578.6544552 5.8121139653017355 -1.0313231184041372e+52 -9.571294676985152e+33 283286550.23618621 1.5417919651584606e+20 3507.9088029652016 0.35144146486687744 2.8820792380172694e+17 " " c 2.2363344699310748
